request_id,route,latency_ms,prompt_tokens,retrieved_chunks,cache_hit,dependency_error,retried,accepted
r001,policy,820,2200,4,true,false,false,true
r002,policy,910,2400,5,false,false,false,true
r003,policy,880,2350,5,true,false,false,true
r004,policy,1020,2600,6,false,false,false,true
r005,policy,950,2500,5,false,false,false,true
r006,mixed,1710,3900,7,false,false,true,true
r007,mixed,1880,4200,8,false,false,true,true
r008,mixed,2120,4700,9,false,true,true,false
r009,mixed,1760,4100,8,false,false,false,true
r010,mixed,2010,4550,9,false,false,true,true
r011,tool,2320,3500,3,false,false,true,true
r012,tool,2840,3600,3,false,true,true,false
r013,tool,2610,3700,4,false,true,true,false
r014,tool,2410,3550,3,false,false,false,true
r015,tool,2980,3800,4,false,true,true,false
r016,policy,1110,3100,7,false,false,false,true
r017,policy,1160,3250,7,false,false,false,true
r018,mixed,2250,5100,10,false,true,true,false
r019,tool,3050,3900,4,false,true,true,false
r020,policy,980,2700,6,true,false,false,true
